data	fluv
1964	216.147
1966	288.627
1970	121.094
1971	168.917
1972	137.353
1973	169.81
1974	229.158
1975	159.495
1976	118.875
1977	182.601
1978	226.706
1979	85.1411
1980	214.597
1981	296.543
1982	232.236
1983	67.0145
1984	106.443
1986	161.645
1987	97.7164
1988	187.704
1989	316.688
1990	169.254
1991	153.328
1993	44.3116
1994	179.322
1995	97.669
1996	167.633
1997	259.291
1998	93.0103
1999	263.843
2000	148.21
2001	316.688
2002	81.5016
2003	230.438
2004	307.763
2005	213.33
2007	135.574
2008	83.9544
2010	277.68
2011	154.377
2012	148.21
2013	93.0103
2014	55.9701
2015	166.352
2016	18.1461
2019	60.2609
2020	249.53
2021	101.352
