data	pluv
1964	2820.0
1966	1912.1
1970	1404.1
1971	2251.7
1972	1531.8
1973	2519.8
1974	2197.7
1975	2706.5
1976	1690.8
1977	1998.8
1978	2103.0
1979	1384.3
1980	1676.3
1981	1305.6
1982	1679.5
1983	1610.3
1984	1970.3
1986	1918.0
1987	1225.1
1988	2313.0
1989	2732.6
1990	1425.3
1991	1481.6
1993	1011.8
1994	1517.3
1995	1377.2
1996	1773.7
1997	1475.7
1998	1347.7
1999	2102.8
2000	1528.6
2001	1622.93
2002	1217.7
2003	1816.7
2004	1685.9
2005	1997.6
2007	1552.5
2008	1564.6
2010	2294.5
2011	2222.8
2012	1240.3
2013	1766.8
2014	1789.1
2015	1579.0
2016	1135.0
2019	1869.9
2020	2616.4
2021	1930.3
