data	fluv
1965	7.8226
1966	7.8226
1967	9.9115
1968	7.3443
1969	9.2282
1970	14.9645
1971	14.4397
1972	14.6134
1973	12.7677
1974	11.9757
1976	14.1874
1977	14.8264
1978	7.1833
1980	13.9785
1981	9.551
1983	20.0955
1984	11.9757
1985	9.9115
1986	12.7677
1987	13.0926
1988	10.623
1989	16.8556
1990	14.4397
1991	7.1117
1992	13.0926
1993	13.5889
1994	11.8123
1995	21.1685
1996	11.2624
1997	15.7072
1998	17.3299
1999	13.7717
2000	12.7673
2001	18.5538
2002	13.9785
2003	15.2626
2004	12.5724
2005	15.2626
2006	10.2134
2007	15.2626
2008	14.1874
2009	17.5703
2010	17.0917
2011	19.0588
2012	14.8264
2013	19.0588
2014	16.3899
2015	20.5
2016	20.8
