data	pluv
1965	1658.8
1966	1448.6
1967	1232.9
1968	929.1
1969	1526.7
1970	1692.9
1971	1368.7
1972	1706.2
1973	1491.0
1974	1338.6
1976	1757.4
1977	1525.4
1978	1102.9
1980	1694.8
1981	1029.0
1983	1835.6
1984	1464.0
1985	982.3
1986	1469.4
1987	1502.6
1988	1271.0
1989	1462.8
1990	1761.8
1991	1098.0
1992	1458.8
1993	1571.4
1994	1396.8
1995	1788.4
1996	1800.3
1997	1483.4
1998	2001.0
1999	1462.3
2000	1260.2
2001	1714.4
2002	1551.7
2003	1477.3
2004	1620.5
2005	1557.0
2006	1179.0
2007	1574.0
2008	1352.4
2009	1797.6
2010	1894.2
2011	1794.7
2012	1447.8
2013	1364.7
2014	1544.1
2015	1792.6
2016	1694.2
