1931	916
1932	706
1933	1028
1934	1455
1935	1015
1936	810
1937	914
1938	1132
1939	1361
1940	996
1941	891
1942	976
1943	1198
1944	1435
1945	1080
1946	1220
1947	1283
1948	909
1949	1215
1950	1516
1951	880
1952	863
1953	890
1954	1219
1955	1208
1956	1337
1957	935
1958	976
1959	989
1960	862
1961	1135
1962	963
1963	899
1964	1663
1965	906
1966	1185
1967	1169
1968	1289
1969	1422
1970	1114
1971	1461
1972	578
1973	906
1974	1520
1975	1195
1976	1426
1977	1083
1978	922
1979	1207
1980	870
1981	572
1982	1080
1983	344
1984	820
1985	983
1986	866
1987	587
1988	980
1989	1577
1990	1040
1991	1186
1992	626
1993	827
1994	1238
1995	1150
1996	1651
1997	844
1998	564
1999	1037
2000	1837
2001	1284
2002	1009
2003	1131
2004	986
2005	1007
2006	1189
2007	1077
2008	1797
2009	1182
2010	1215
2011	1910
2012	886
2013	953
2014	1455
2015	953
2016	708
2017	1076
2018	1357
2019	1091
